gene_id,PAV01,PAV03,PAV04,PAV05,PAV10,PAV07,PAV08,PAV09,PAV12,PAV13,PAV14,PAV15
pal_pou00001,7,0,0,14,11,6,7,35,4,3,9,7
pal_pou00002,1192,1070,1133,1044,1023,1578,1435,1310,864,999,810,741
pal_pou00003,2125,2309,1955,2078,2280,1671,1264,1967,824,922,904,1153
pal_pou00004,2302,2482,2039,2199,2279,2547,2238,2049,1494,1930,1659,1633
pal_pou00005,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00006,2443,2405,2142,2055,2060,2440,1932,2268,2258,2168,2017,2000
pal_pou00007,1566,1401,1402,1314,1097,1256,907,1495,826,955,834,830
pal_pou00008,4931,4758,4109,4707,4295,5297,4836,5391,3833,3836,3068,3420
pal_pou00009,1,5,0,1,0,0,0,0,9,2,0,0
pal_pou00010,3456,3187,2870,2927,3731,4143,3324,6204,2023,1978,1858,1692
pal_pou00011,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00012,61,94,51,107,277,83,149,141,57,21,5,33
pal_pou00013,0,0,0,0,0,0,0,0,4,0,0,0
pal_pou00014,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00015,1499,1270,1123,1134,1029,1176,993,1209,935,1340,1214,1170
pal_pou00016,275,291,235,279,220,233,260,194,263,365,379,340
pal_pou00017,4288,2654,3003,5295,893,1133,1510,549,5823,7544,5351,8354
pal_pou00018,2619,2329,2041,2276,1963,2643,2545,2300,1475,1738,1455,1704
pal_pou00019,1606,1730,1603,1593,2227,2115,2039,1777,912,1137,1355,1010
pal_pou00020,26,6,16,30,26,33,63,23,37,59,47,24
pal_pou00021,3652,3649,3414,3117,3614,2486,2682,3039,5252,3689,3991,4155
pal_pou00022,856,1113,820,879,1023,1227,1256,1002,746,926,660,631
pal_pou00023,0,0,3,0,0,2,2,3,1,0,0,0
pal_pou00024,1043,768,767,927,1588,1864,1469,866,1062,1414,1169,1194
pal_pou00025,7684,7452,6708,6630,7392,6857,9407,7026,9402,11121,10894,10399
pal_pou00026,6110,5444,5440,5426,5799,4878,5879,3781,6316,6927,6987,7029
pal_pou00027,3228,2865,2751,2853,2462,3505,3705,3421,4047,4524,4161,4311
pal_pou00028,1338,1317,1232,1192,1183,1156,1056,1250,1384,1836,1600,1645
pal_pou00029,125,335,139,265,166,95,229,144,416,321,427,375
pal_pou00030,328,118,217,593,417,688,457,216,2343,3187,1663,2718
pal_pou00031,8421,9261,7666,6709,10092,10423,6706,12395,6977,6916,6108,6687
pal_pou00032,107,135,151,134,90,102,124,108,104,211,166,206
pal_pou00033,1001,1065,770,961,764,1027,882,608,605,757,449,541
pal_pou00034,679,657,679,733,894,660,780,732,452,535,478,366
pal_pou00035,5115,4276,4409,4054,3033,2544,2689,2521,3054,3450,3308,3391
pal_pou00036,775,668,640,664,260,211,248,158,292,363,235,335
pal_pou00037,2348,2228,1753,1877,532,500,582,606,751,1569,1109,1123
pal_pou00038,4981,5319,4393,4951,6090,6903,5275,6788,3703,3819,3639,3542
pal_pou00039,30,23,26,30,19,18,11,11,31,18,42,18
pal_pou00040,2431,2538,2262,2026,2437,2274,2539,2392,3591,3914,3373,3385
pal_pou00041,1311,1350,1106,1035,1332,1334,1428,1511,2176,1964,1779,1819
pal_pou00042,4,0,6,0,0,0,0,0,0,0,0,0
pal_pou00043,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00044,0,0,0,0,0,0,0,4,0,0,0,0
pal_pou00045,10,0,8,11,53,45,34,38,0,38,19,18
pal_pou00046,1536,1436,1308,1936,1748,2125,1963,1669,1522,1727,1143,1863
pal_pou00047,0,5,0,7,3,12,28,23,0,14,0,2
pal_pou00048,0,0,0,0,0,0,0,0,0,0,3,0
pal_pou00049,18,23,26,51,16,27,16,15,39,58,32,22
pal_pou00050,595,440,495,423,371,355,543,354,362,527,344,476
pal_pou00051,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00052,677,243,276,503,80,105,255,90,1582,1707,1142,1483
pal_pou00053,1974,1762,1613,1528,1994,1978,2062,1953,1721,1611,1733,1822
pal_pou00054,103,119,84,114,208,192,162,277,86,81,186,109
pal_pou00055,95,118,81,209,333,241,286,302,244,235,453,313
pal_pou00056,0,0,0,0,0,0,0,0,0,0,0,0
pal_pou00057,244,317,269,304,211,260,360,305,184,215,244,165
pal_pou00058,1219,1330,1206,1408,1621,1914,1204,1654,661,1000,452,766
pal_pou00059,65,69,101,71,66,45,39,51,60,61,40,64
pal_pou00060,14,8,12,11,11,5,34,11,33,64,20,62
pal_pou00061,250,268,216,395,398,447,257,406,258,204,230,179
pal_pou00062,622,621,599,544,509,577,563,619,380,675,545,557
pal_pou00063,206,189,158,190,300,334,360,269,166,285,256,213
pal_pou00064,366,384,286,398,587,579,551,525,235,255,209,325
